Id,Address1,Address2,Area,Country,City,State,Region,Pincode
8000,Telipara Bilaspur (C.G.),Shop No. 78 First Floor,Ward No-28 Khasra No. 367/14,,Bilaspur,,,495001
331,,Udhampur,,India,Udhampur,Jammu & Kashmir,NA,NA
4090,,Thane,,India,Thane,Maharashtra,Thane,401107
4091,"644 Kalka Mata Road, Payda","Ganesh Nagar, Udaipur",,India,Udaipur,Rajasthan,Udaipur,313001
4092,"C.S No. 5138, Pro Nozab2000229, Shivkrupa Colony, Bodake Nagar","Junnar, Pune",,India,Pune,Maharashtra,Pune,410502
4093,"Pandey Niwas, Singh Estate, Zero Road Samta Nagar, Kandivali East","Kandivali, Mumbai",,India,Mumbai,Maharashtra,Mumbai,400101
332,"West Fort, 23/326/17, N.P. Tower,","Guruvayur Road, Trichur",,India,Trichur,Kerala,NA,680004
8015,Kanpur.,59/22 Jaiswal Market,Birhana Road,,Kanpur,,,208001
8016,,Syana Road Garhmukteshwar,Hapur -,,Hapur,,,245205
4094,"59/89, Birhana Road, Karachi Khana","General Ganj, Kanpur",,India,Kanpur,Uttar Pradesh,Kanpur,208001
4095,"59/116, C.P.Market, Birhana Road",Kanpur,,India,Kanpur,Uttar Pradesh,Kanpur,208001
8018,,,,,Lucknow,,,
8001,,58/71 Birhana Road Kanpur,,,Kanpur,,,208001
8002,"12/623 Shirin Chambers,","Chhakapir Gali, Lal Gate, Surat",,,Surat,Gujarat,,395003
4096,"78, Madarat Road","Baruipur, Kolkata",,India,Kolkata,West Bengal,Kolkata,700144
8020,,,,,Delhi,,,
8003,,M.L.B. Medical College Gate No.2 & 3,Near Gas Godowin Jhansi -,,Jhansi,,,284002
338,"Shop No.2, Ist Floor","25,Tilak Road",,India,Dehradun,Uttarakhand,NA,248001
337,"A/20, Mahindra Market","Bhagat Singh Marg,",,India,Saharanpur,Uttar Pradesh,NA,247001
339,A-13 L.S.C Padam Nagar,Sarai Rohilla,,India,Delhi,Delhi,NA,110007
4088,"1st Floor, A-Wing, Shree Sai Towers, Sodawala Lane, Borivali West","Borivali, Mumbai",,India,Mumbai,Maharashtra,Mumbai,400092
8017,,,,,Basti,,,
4097,"246-247, Ratnamani Complex, Near Nagar Sheth's Vando, Gheekanta","Bhadra, Ahmedabad",,India,Ahmedabad,Gujarat,Ahmedabad,380001
19689,INSIDE SEERAT NURSING HOME              ,"FEROZEPUR ROAD,                         ",,,MULLANPUR                ,,,141101
18831,P.L.SHARMA ROAD                         ,MAIN MARKET                             ,,,MEERUT                   ,,,       
8021,Ps Ramnagar,Vill & Po Mukundapur,Dist South 24 Pgns,,Mukundapur,,,743368
22233,,,,,Anandapur,West Bengal,,
340,"K-59, Pratap Nagar,",Delhi,,India,Delhi,Delhi,NA,110007
18242,"JANTA SUPER MARKET,MEHSANA              ",                                        ,,,MEHSANA                  ,,,384001
8004,,Dr. Kapoor Wali Gali,Katra Bazar Shikohabad -,,Shikohabad,,,205135
8022,North 24 Parganas Dist,Motigang Military Road,P.O.Bongaon,,Bongaigaon,,,743235
212,,Bagdogra,,India,Bagdogra,Telangana,NA,NA
208,,Bengdubi,,India,Bengdubi,Telangana,NA,
211,,Bhatinda,,India,Bhatinda,Punjab,NA,NA
209,,Delhi,,India,Delhi,Delhi,NA,NA
207,"58,",Guwahati,,India,Guwahati,Assam,NA,NA
210,,Lucknow,,India,Lucknow,Uttar Pradesh,NA,NA
206,,Mumbai,,India,Mumbai,Maharashtra,NA,400050
341,Opposite Petrol Pump Near Sheikh-Ul-Alam Hospital,"Karan Nagar, Srinagar",,India,Srinagar,Jammu & Kashmir,NA,190010
8005,,L-1/42 Sec - B Aliganj Lucknow -,,,Lucknow,,,111111
8024,,,,,Kolkata,,,
342,"2/6, Teg Bahadur Road,",Araghar,,India,Dehradun,Uttarakhand,NA,248001
8006,,New Market Behind Kamla Medical Stores,G. E. Road Supela Bhilai - Durg,,Bhilai,,,490023
8023,,,,,Srinagar,,,
8027,Siwan,Hospital,Road,,Siwan,,,841226
4098,Govind Mitra Road,"Lalbagh, Patna",,India,Patna,Bihar,Patna,800004
22155,"PATHANIA COMPLEX ,MANDI SADAR           ",THE MANDI SADAR                         ,,,                         ,,,175001
8028,,92B Phirojpur,,,Malda,,,111111
8007,,92B Phirojpur Malda,West Bengal -,,Malda,,,732101
8029,,,,,Malda,,,
8025,No. 319A Calcutta 700 073,6 Colootola Street.,Room,,Kolkata,,,700001
8026,,,,,Bagri Market,,,
343,Khairat Ahmed Road,Gaya,,India,Gaya,Bihar,NA,823001
8008,Laxmi Bazar,C. P. Drolia,Road,,Deoghar,,,814112
8030,Mirzapur,Maharana Pratap Road,Ratan Ganj,,Mirzapur,,,231001
19687,"NURPUR ROAD,                            ",DISTT. KANGRA                           ,,,JASSOUR                  ,,,176201
21915,GROUND FLOOR                            ,GOGIA MARKET                            ,,,AGRA                     ,,,282003
20235,"HARIDWAR ROAD,RISHIKESH                 ",                                        ,,,RISHIKESH                ,,,       
22150,"NURPUR ROAD,JASSOUR, DISST.KANGRA       ",                                        ,,,KANGRA                   ,,,176201
8031,,,,,Kasiya,,,
18833,PHAPHLA STREET                          ,                                        ,,,ALIGARH                  ,,,       
4099,"No. 1-2, 1st Floor, Kavitha Street, Kannappa Nagar","Arumbakkam, Chennai",,India,Chennai,Tamil Nadu,Chennai,600106
4100,"Shop No. 3, Second Floor, Solomon Market, Nazirabad","Aminabad, Lucknow",,India,Lucknow,Uttar Pradesh,Lucknow,226018
345,"#480/488, Hadadi Road","Opp. Taralabalu School,Davanagere",,India,Davangere,Karnataka,NA,570005
346,"#480/488, Hadadi Road","Opp. Taralabalu School,Davanagere",,India,Davangere,Karnataka,NA,570005
344,"K. 61/118, Bulanala,","Satsagar,",,India,Varanasi,Uttar Pradesh,NA,221001
22235,,,,,Delhi,Delhi,,
21068,"SHOP NO. 8,GRD FLOOR,WP-439,SHIV MARKER ",WAZIRPUR VILLAGE                        ,,,NEW DELHI                ,,,110052
18832,RAM BEHIND NEW MARKET                   ,"KASGANJ,DISTT.KANSHIRAM NAGAR           ",,,KASGANJ                  ,,,       
4101,"Gadikhana, Ladpura","Rampura, Kota",,India,Kota,Rajasthan,Kota,324001
8009,Udaipur 313001,Hospital,Road,,Udaipur,,,313001
22236,,,,,Udaipur,Rajasthan,,
347,No 1891 1 St Floor,"8 Cross, Hal 3 Stage New Thipasandra",,India,Bengaluru,Karnataka,NA,560075
8010,H. B. Road,Burman Market,,,,,,111111
345,(UNIT OF AKP HEALTHCARE PVT LTD)        ,"# 480/488,HADADI ROAD,                  ",,,DAVANGERE                ,,,577005
20587,J.K.MARKET                              ,TILIK ROAD                              ,,,DEORIA                   ,,,274001
8032,,M-88Argora Housing Colony,Po-Argoraps-Argoraranchi,,Ranchi,,,834002
8033,,,,,Davangere,,,
18337,# 472/01 2ND FLOOR                      ,"7TH MAIN, 7TH CROSS                     ",,,DAVANGERE                ,,,577002
8034,,129/54A Ganesapuram 1St Street,Namakkal Tamil Nadu,,Namakkal,,,637001
18001,"20,UPSTAIRS,EAST CAR STREET             ",                                        ,,,THIRUCHENGODE            ,,,637211
348,"Bapuji Hospital Road, 1991/1992,","'Ashirwad' Basement, P.J.Extn.",,India,Davangere,Karnataka,NA,577002
8035,Basti,Sahu Market,Gandhi Nagar,,Basti,,,272001
22230,,,,,Rourkela,Orissa,,
4102,"Shop No. 6, 59/116, C.P. Market","Birhana Road, Kanpur",,India,Kanpur,Uttar Pradesh,Kanpur,208001
4103,"New Sreema Complex, 1st Floor, Kathgola More Hospital Road, New Auraro Cinema","Chinsurah, Hooghly",,India,Howrah,West Bengal,Howrah,712101
8036,G.F. Road,,,,Golaghat,,,785621
4119,"Shop No 1, Surmalhar CHSL , Plot No, 43, Sector 36, Kamothe Police Chowky","Kamothe, Navi Mumbai",,India,Navi Mumbai,Maharashtra,Navi Mumbai,410209
349,Bharwain Road,"Gagret, Una",,India,Una,Himachal Pradesh,NA,177201
350,"Thakurganj Shop No. G-4, Ground Floor, Z A Complex,","Napier Ii,",,India,Lucknow,Uttar Pradesh,NA,226003
4104,"59/58, Birhana Road",Kanpur,,India,Kanpur,Uttar Pradesh,Kanpur,208001
4105,"304, Garden View Flats, Near Polytechnic","Ambawadi, Ahmedabad",,India,Ahmedabad,Gujarat,Ahmedabad,380015
22197,SHOP NO.16                              ,G.FLOOR COOPERATIVE COMPLEX             ,,,DISTT BARAMULLA          ,,,       
4106,"C-49, Patel Garden, Gali No. 5, Opposite Manav Dharam Mandir","Kakrola More, Delhi",,India,Delhi,Delhi,Delhi-NCR,110078
8038,Behind Gujrat Sweets,Shop No. 8 Dawa Bazar Road,Civil Ward No. 8,,Damoh,,,470661
8011,,Makatpur Giridih -,,,Giridh,,,815301
18687,"JASWANTA ROAD,PAN BAZAR                 ",                                        ,,,GUWAHATI                 ,,,781001
351,"Dwidal Nursing Home, 10-15, Karve Road,","Erandwane, Pune",,India,Pune,Maharashtra,NA,411004
4108,Mohalla Nawab Bilram Gate,Kasganj,,India,Kasganj,Uttar Pradesh,Other,207123
4107,"G 1 & G 2, Kanti Empire, Lal Godown, Vartak College Road, Vasai Road West, Next To Vartak College","Vasai, Thane",,India,Thane,Maharashtra,Thane,401202
20588,BABA MEDICINE MARKET                    ,RAMPURI                                 ,,,UNNAO                    ,,,       
8039,,,,,Kunamkulam,,,
8042,Bangalore,130 18Th Main Road Hal 2Nd Stage,,,Bengaluru,,,560008
8040,,,,,Aurangabad,,,
8043,Hatpar Nawadah,Hospital Road,,,Nawadah,,,805110
352,"H.No.1-9-714/B&C, Ground Floor, Markaz Maryada Apartment, Opposite Hanuman Temple","Adikmet, Hyderabad",,India,Hyderabad,Telangana,Hyderabad,500044
4110,"101,102 Anand Apartment, Goraswadi, Behind Nila Petrol Pump, Malad West","Malad, Mumbai",,India,Mumbai,Maharashtra,Mumbai,400064
